"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes"
"A closer look at Harry Potter","","007055614","Monograph","Language material ; Text","Volume","GBA3Z2916","9781842911044","","Houghton, John","1944-","person","","Houghton, John, 1944- [person]","","","England","Eastbourne","Kingsway Communications","2003","Revised edition","128 pages, 20 cm","823.914","","Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Religion","","English","Previous edition: 2001"
"A guide to the Harry Potter novels","","008101251","Monograph","Language material ; Text","Volume","GBA230348","9780826453167 ; 9780826453174","","Eccleshare, Julia","","person","","Eccleshare, Julia [person]","Contemporary classics of children's literature","","England","London","Continuum","2002","","114 pages, 24 cm","823.914","YC.2002.a.14075 ; m05/.29684","Magic in literature ; Potter, Harry, (Fictitious character) ; Rowling, J. K.--Characters--Harry Potter ; Children's stories, English--History and criticism ; Fantasy fiction, English--History and criticism","","English","Includes index"
"A guide to the Harry Potter novels","","019391767","Monograph","Language material ; Text","Online resource","GBB988226","9781441164612","","Eccleshare, Julia","","person","","Eccleshare, Julia [person]","Contemporary classics of children's literature","","England ; United Kingdom","London","Continuum","2002","","1 online resource (124 pages)","823.914","ELD.DS.418659","Rowling, Joanne K ; Potter, Harry, (Fictitious character) ; Potter, Harry (Fictitious character)--Handbooks, manuals, etc ; Rowling, J. K.--Criticism and interpretation ; Jeugdliteratuur ; Rowling, J. K.--Characters--Harry Potter","Criticsm and interpretation ; Handbook or manual","English",""
"A guide to the Harry Potter novels","","019400047","Monograph","Language material ; Text","Online resource","GBB992079","9780826453174 ; 9781847144188","","Eccleshare, Julia","","person","","Eccleshare, Julia [person]","Contemporary classics of children's literature","","England ; United States of America","London ; New York","Continuum","2002","","1 online resource (114 pages)","823.914","ELD.DS.420971","Rowling, Joanne K ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Potter, Harry, (Fictitious character) ; Rowling, J. K.--Criticism and interpretation ; Jeugdliteratuur ; Rowling, J. K.--Characters--Harry Potter","Criticsm and interpretation","English","Includes index"
"A journey through the Hogwarts curriculum. Books 1-4","","019869958","Monograph","Language material ; Text","Online resource (ebook)","GBC0A3798","9781781104651","","","","","","","","","England","London","Pottermore from J.K. Rowling","2019","","1 online resource","823.92","","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character) ; Rowling, J. K.--Characters--Harry Potter","","English",""
"A muggle's guide to the wizarding world : exploring the Harry Potter universe","","013064643","Monograph","Language material ; Text","Volume","GBA489998","9781550226553","","Boyle, Fionna","","person","","Boyle, Fionna [person]","","","Canada","Toronto, Ontario","","2005","","400 pages, 24 cm","823.914","","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character) ; Hogwarts School of Witchcraft and Wizardry (Imaginary place)","","English",""
"A pop-up guide to Diagon Alley and beyond","From the films of Harry Potter, a pop-up guide to Diagon Alley and beyond","019867124","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Sheet ; Volume","GBC0A0964","9781789096354","","Reinhart, Matthew","","person","artist","Reinhart, Matthew, artist [person] ; Revenson, Jody, writer [person] ; Wilson, Kevin M., illustrator [person]","","","England","London","Titan","2020","","1 volume (unpaged), chiefly colour illustrations, 29 cm + instruction sheet","791.4375","LC.31.b.22821","Pop-up books--Specimens ; Motion pictures--Setting and scenery--Pictorial works ; Harry Potter films--Pictorial works ; Potter, Harry, (Fictitious character)--Pictorial works","Pictorial work ; Specimen","English","'Unfolds into a 4ft-long 3D model of Diagon Alley and beyond!' -- instruction sheet ; 'Wizarding world' ; At head of title: 'From the films of Harry Potter' ; Includes over a dozen paper characters to place in each scene' -- instruction sheet"
"A queen out of place : dark fantastic dreaming and the spacetime politics of Gwen in BBC's Merlin --","Hermione is black : a postscript on Harry Potter and the crisis of infinite dark fantastic worlds -- ; Lamentations of a Mockingjay : The hunger games' Rue and racial innocence in the dark fantastic -- ; The curious case of Bonnie Bennett : The vampire diaries and the monstrous contradiction of the dark fantastic -- ; The dark fantastic : race and the imagination from Harry Potter to The hunger games ; Toward a theory of the dark fantastic --","019440672","Monograph","Language material ; Text","Volume","","9781479800650","","Thomas, Ebony Elizabeth","1977-","person","author","Thomas, Ebony Elizabeth, 1977-, author [person]","Postmillennial pop","","United States of America","New York","New York University Press","2019","","vii, 225 pages, illustrations, 24 cm","813.08766093552 ; 813.8766093552","m19/.11079","African Americans--Intellectual life ; Storytelling in mass media ; Fantasy fiction, American--History and criticism--Theory, etc ; Fantasy fiction, English--History and criticism--Theory, etc ; Literature and race","Criticsm and interpretation","English",""
"A spellbinding guide to the films of the wizarding world","","019007795","Monograph","Language material ; Still image ; Text","Volume","GBB8E5753","9781338322996","","","","","","","Fantastic beasts","","England","London","Scholastic","2018","","1 volume, illustrations, 23 cm","791.4375","","Harry Potter films","","English","Film tie-in"
"A study guide to Harry Potter & the philosopher's stone at Key Stage 3 : below level 3","","015449441","Monograph","Language material ; Text","Volume","","9781907175176","","","","","","","","","","","Coleridge Press","2009","","65 pages","","","","","English",""
"A study guide to Harry Potter & the philosopher's stone at Key Stage 3 : levels 3-4","","015449461","Monograph","Language material ; Text","Volume","","9781907175183","","","","","","","","","","","Coleridge Press","2009","","63 pages","","","","","English",""
"A study guide to Harry Potter & the philosopher's stone at Key Stage 3 : levels 4-7","","015449474","Monograph","Language material ; Text","Volume","","9781907175190","","","","","","","","","","","Coleridge Press","2009","","65 pages","","","","","English",""
"A tale of two villains : theme and symbolism in Dracula and the Harry Potter saga","","020738029","Monograph","Language material ; Text","Volume","GBC2F8838","9781592111671","","Cherry, Calvin H.","","person","author","Cherry, Calvin H., author [person]","","","United States of America","Las Vegas","Gaudium Publishing","2022","","1 volume, 23 cm","823.8","","Villains in literature ; Stoker, Bram, 1847-1912--Criticism and interpretation ; Rowling, J. K.--Characters ; Stoker, Bram, 1847-1912--Characters ; Rowling, J. K.--Criticism and interpretation ; Dracula, Count (Fictitious character)","","English",""
"A wizard of their age : critical essays from the Harry Potter generation","","017081428","Monograph","Language material ; Still image ; Text","Volume","GBB524434","9781438454467 ; 9781438454474","","","","","","Wente, Sarag, editor [person] ; McDougal, Jeny, editor [person] ; Caetano, Kalie, editor [person] ; Farr, Cecilia Konchar, 1958-, editor [person] ; Gaydos, Evan, editor [person] ; Armstrong, Rachel, 1966-, editor [person] ; Rosado, Tréza, editor [person] ; Glassman, Kate, editor [person]","","","United States of America","Albany","SUNY","2015","","xix, 300 pages, black and white illustrations, 23 cm","823.914","YC.2015.a.9840","Rowling, J. K.--Criticism and interpretation ; Potter, Harry, (Fictitious character)","","English",""
"About Harry Potter (not for Muggles) : what every kid should know!","","011622566","Monograph","Language material ; Text","Volume","GBA3V3977","9780954359638","","Moore, P. D. (Philton D.)","","person","","Moore, P. D. (Philton D.) [person]","","","England","Enfield","Lux-Verbi","2003","","166 pages, illustrations, 19 cm","823.914","YK.2005.a.2495","Wizards in literature--Juvenile literature ; Rowling, J. K.--Characters--Harry Potter--Juvenile literature ; Magic in literature--Juvenile literature ; Potter, Harry, (Fictitious character)--Juvenile literature","Children's literature","English",""
"Agents of the good, servants of evil : Harry Potter and the law of agency","Bots and gemots : Anglo-Saxon legal references in Harry Potter ; Economic growth in the Potterian economy ; Gringotts : the role of banks in Harry Potter's wizarding world ; Harry Potter and the curse of difference ; Harry Potter and the development of moral judgment in children ; Harry Potter and the half-crazed bureaucracy ; Harry Potter and the image of God : how house-elves can help us to understand the dignity of the person ; Harry Potter and the unforgivable curses ; Harry Potter as client in a lawsuit : utilizing the archetypal hero's journey as part of case strategy ; Harry Potter goes to law school ; Hogwarts, the family, and the state : forging identity and virtue in Harry Potter ; Moral choice, wizardry, law, and liberty : a classical liberal reading of the role of law in the Harry Potter series ; Professor Dumbledore's wisdom and advice ; Punishment in the Harry Potter novels ; Sirius Black : a case study in actual innocence ; The law and Harry Potter ; What role need law play in a society with magic? ; When Harry met Martin : imagination, imagery, and the color line ; Which spell : learning to think like a wizard ; Who wants to be a muggle? : the diminished legitimacy of law as magic ; magic of money and banking ; persecution of Tom Riddle : a study in human rights law","015503223","Monograph","Language material ; Text","Volume","","9781594606458","","","","","","Snyder, Franklin G. [person] ; Thomas, Jeffrey E., 1959- [person]","","","United States of America","Durham, North Carolina","Carolina Academic Press","2010","","viii, 414 pages, illustrations, 23 cm","823.914","m10/.14707","Magic in literature ; Potter, Harry, (Fictitious character) ; Wizards in literature ; Law in literature ; Rowling, J. K.--Criticism and interpretation ; Rowling, J. K.--Characters--Harry Potter","","English",""
"Airs","Amazonian mood ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus ; Full on ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Sogni, Angela, musician [person] ; Wastall, Peter [person] ; Rae, James [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Demersseman, Jules, 1833-1866 [person] ; McDowall, Cecilia [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Harris, Paul, 1956- [person] ; Lawrance, Peter [person] ; Shaw, Richard, pianist [person] ; Thomas, Kathryn, 1973- [person] ; Lyons, Graham, 1936- [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Adams, Sally, musician [person] ; Doyle, Patrick, 1953- [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Boyce, William, 1711-1779 [person] ; Burton, Anthony, writer [person] ; Kelly, Bryan [person] ; Gariboldi, G. [person] ; Gordon, David, 1965- [person] ; Telemann, Georg Philipp, 1681-1767 [person] ; Bullard, Alan, 1947- [person] ; Arrieu, Claude, 1903-1990 [person] ; Milford, Robin, 1903-1959 [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Schubert, Franz, 1797-1828 [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Denley, Ian, musician [person] ; Grieg, Edvard, 1843-1907 [person] ; Stephen, Ros [person]","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","Recorded accompaniments (Flute) ; Associated Board of the Royal Schools of Music (Great Britain)--Examinations ; Flute and piano music, Arranged--Scores and parts ; Flute and piano music--Scores and parts ; Flute music ; Flute--Great Britain--Examinations, questions, etc","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Albus Dumbledore : cinematic guide","","018420985","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB7C0537","9781407177762","","Baker, Felicity","","person","author","Baker, Felicity, author [person]","Harry Potter","","England","London","Scholastic","2017","","1 online resource","791.4375","","Harry Potter films--Juvenile literature ; Dumbledore, Albus, (Fictitious character)--Juvenile literature ; Rowling, J. K.--Characters--Albus Dumbledore--Juvenile literature","Children's literature","English","Additional physical form: Print version. 9781407173146 ; Previously issued in print: 2016"
"All aboard the Hogwarts Express!","","019600358","Monograph","Language material ; Still image ; Text","Sheet ; Volume","GBB9H9835","9781407198811","","Spinner, Cala","","person","author","Spinner, Cala, author [person] ; Rowling, J. K. [person]","LEGO Harry Potter","","England","London","Scholastic","2020","","1 volume, 23 cm + 1 sheet of stickers","823.92","","Potter, Harry, (Fictitious character)--Juvenile fiction ; Wizards--Juvenile fiction ; Hogwarts School of Witchcraft and Wizardry (Imaginary organization)--Juvenile fiction","Children's fiction ; Fantasy","English",""
"All things Harry Potter","","015556994","Monograph","Language material ; Text","Volume","GBB062931","9781440208973","","Silvester, William","","person","","Silvester, William [person]","","","United States of America","Iola, Wisconsin ; Newton Abbot","David & Charles ; Krause","2010","","1 volume, colour illustrations, 28 cm","823.914","","Potter, Harry, (Fictitious character)--Collectibles ; Rowling, J. K.--Collectibles","","English",""
"Alohomora! (Podcast)","Chamber of secrets","020990894","Monograph","Language material ; Text","Volume","GBC355307","9781956403152","","","","","","","The unofficial Harry Potter companion","volume 2 [The unofficial Harry Potter companion]","United States of America","New York","Media Lab","2023","","160 pages, 22 cm","823.92","","Rowling, J. K","","English",""
"Alohomora! (Podcast)","The sorcerer's stone","020573687","Monograph","Language material ; Text","Volume","GBC278545","9781948174930","","","","","","","The unofficial Harry Potter companion","volume 1 [The unofficial Harry Potter companion]","United States of America","New York","Media Lab","2022","","1 volume, 22 cm","823.92","","Rowling, J. K","","English",""
"Amazonian mood","Airs ; Barcelona ; Chanson de la pastoure ; Chanson serbe ; Cinq sets ; Cool flute ; Don Giovanni ; Exercices journaliers ; Flute exam pieces : ABRSM grade 3 : selected from the 2014-2017 syllabus ; Full on ; Harry Potter and the goblet of fire ; Hazelnote crunch ; High five ; Hole in my shoe ; Insouciance ; Menuette mit Trios ; Norwegische Tänze ; Overtures ; Panurge dans l'isle des lanternes ; Plaintive flute ; Progressive flute studies ; Serenades ; St Lucia ; Study ; Symphonies ; Toffee tango ; Tre giorni son che Nina ; Vie parisienne ; Waltzer ; Whistlin'","016498747","Monograph","Notated music ; Performed music","Audio disc ; Volume","","9781848495067","","Associated Board of the Royal Schools of Music (Great Britain)","","organisation","","Stapleton, Dave, 1979- [person] ; Salter, Lionel [person] ; Sogni, Angela, musician [person] ; Wastall, Peter [person] ; Rae, James [person] ; Luypaerts, Guy-Claude, 1949- [person] ; Demersseman, Jules, 1833-1866 [person] ; McDowall, Cecilia [person] ; Tulou, Jean-Louis, 1786-1865 [person] ; Harris, Paul, 1956- [person] ; Lawrance, Peter [person] ; Shaw, Richard, pianist [person] ; Thomas, Kathryn, 1973- [person] ; Lyons, Graham, 1936- [person] ; Ledbury, Oliver [person] ; Grétry, André-Ernest-Modeste, 1741-1813 [person] ; Adams, Sally, musician [person] ; Doyle, Patrick, 1953- [person] ; Gatti, Giovanni [person] ; Offenbach, Jacques, 1819-1880 [person] ; Mozart, Wolfgang Amadeus, 1756-1791 [person] ; Boyce, William, 1711-1779 [person] ; Burton, Anthony, writer [person] ; Kelly, Bryan [person] ; Gariboldi, G. [person] ; Gordon, David, 1965- [person] ; Telemann, Georg Philipp, 1681-1767 [person] ; Bullard, Alan, 1947- [person] ; Arrieu, Claude, 1903-1990 [person] ; Milford, Robin, 1903-1959 [person] ; Associated Board of the Royal Schools of Music (Great Britain) [organisation] ; Schubert, Franz, 1797-1828 [person] ; Pergolesi, Giovanni Battista, 1710-1736 [person] ; Denley, Ian, musician [person] ; Grieg, Edvard, 1843-1907 [person] ; Stephen, Ros [person]","","","England","London","ABRSM","2013","Score, parts and CD","1 score (13 pages) + 1 part (10 pages), 31 cm + 1 CD","788.32","g.1787.w./2014-2017","Recorded accompaniments (Flute) ; Associated Board of the Royal Schools of Music (Great Britain)--Examinations ; Flute and piano music, Arranged--Scores and parts ; Flute and piano music--Scores and parts ; Flute music ; Flute--Great Britain--Examinations, questions, etc","","","3 pieces are for solo flute; the other 6 have piano accompaniment ; 9 pieces from the Associated Board of the Royal Schools of music examination syllabus for grade 3 flute ; CD contains full demonstration tracks for all 30 pieces on the syllabus and backing tracks for those with piano accompaniment, performed by Kathryn Thomas (flute) and Richard Shaw (piano) ; Cover title ; Includes notes on the pieces by Anthony Burton"
"Ambiguity in 'Star Wars' and 'Harry Potter' : a (post) structuralist reading of two popular myths","","016450011","Monograph","Language material ; Text","Volume","","9783837621488","","Flotmann, Christina","","person","","Flotmann, Christina [person]","Kultur- und Medientheorie","","Germany","Bielefeld","Transcript","2013","","393 pages, illustrations, 23 cm","791.43","YD.2013.a.1973","Myth in literature ; Potter, Harry, (Fictitious character) ; Rowling, J. K.--Characters--Harry Potter ; Popular culture and literature ; Myth in motion pictures ; Star Wars films--History and criticism","","English","Also presented as the author's thesis (doctoral) --Universität Paderborn"
"An A-Z of Harry Potter : everything you always wanted to know about the boy wizard and his creator","","013784542","Monograph","Language material ; Text","Volume","GBA751950","9781905548972","","Dillon-Malone, A. (Aubrey)","","person","","Dillon-Malone, A. (Aubrey) [person]","","","England","London","Friday","2007","","201 pages, illustrations, 20 cm","823.914","YK.2008.a.22878","Potter, Harry, (Fictitious character)--Dictionaries, Juvenile ; Rowling, J. K.--Settings--Dictionaries, Juvenile ; Rowling, J. K.--Characters--Dictionaries, Juvenile","Dictionary","English",""
"An A-Z of Harry Potter : everything you always wanted to know about the boy wizard and his creator","","020557569","Monograph","Language material ; Text","Online resource","GBC275337","9780007328567","","Malone, Aubrey","","person","","Malone, Aubrey [person]","","","England","London","HarperCollins","2009","","1 online resource, illustrations","823.914","ELD.DS.684311","Potter, Harry, (Fictitious character)--Dictionaries, Juvenile ; Characters and characteristics ; Rowling, J. K.--Settings--Dictionaries, Juvenile ; Rowling, J. K.--Characters--Dictionaries, Juvenile ; Setting (Literature)","Dictionary","English","Originally published: Friday books, 2007"
"ApeioΣ Πothp : Harry Potter andn philosopher's stone","","017028216","Monograph","Language material ; Text","Volume","","9781408866160 ; 9781582348261","","","","","","","","","England","","Bloomsbury","2014","","250 pages","","","","","English",""
"Artemis Fowl","Cirkeln ; Harry Potter ; Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Colfer, Eoin [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person]","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","Fantasy fiction--History and criticism ; Children's literature--History and criticism ; Literature--History and criticism ; Adventure stories--History and criticism","","English",""
"Babar, Harry Potter & Cie : livres d'enfants d'hier et d'aujourd'hui","","014892451","Monograph","Language material ; Text","Volume","","9782717724226","","","","","","Piffault, Olivier [person] ; Bibliothèque nationale de France [organisation]","","","France","Paris","Bibliothèque Nationale","2008","","580 pages, illustrations (some colour), 21 cm","809","YF.2009.a.15587","Children--Books and reading--France--History--Exhibitions","Exhibition","French","Exhibition catalogue"
"Back to Hogwarts : school planner with notepad and activity journal","","019271959","Monograph","Language material ; Text","Volume","","9781338318821","","","","","","","Harry Potter wizarding world","","England","London","Scholastic","2019","","1 volume (unpaged)","","","","","English",""
