"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Children's stories, English--History and criticism","general term","009404978","Monograph","Language material ; Text","Volume","GBA419461","9780313320675","","","","","","Anatol, Giselle Liza, 1970- [person]","Reading Harry Potter : critical essays","","Contributions to the study of popular culture","number 78 [Contributions to the study of popular culture]","England","London ; Westport, Connecticut","Praeger","2003","","xxv, 217 pages, 25 cm","823.914","3461.454200 ; YC.2004.a.3539","","English",""
"Children's stories, English--History and criticism","general term","010130486","Monograph","Language material ; Text","Volume","GBA3Z3920","9781403912640 ; 9781403912657","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2003","","vii, 185 pages, 23 cm","823.914","YC.2004.a.1622 ; m03/28568","","English","Includes index"
"Children's stories, English--History and criticism","general term","011343874","Monograph","Language material ; Text","Volume","GBA384362","9780664226015","","Neal, C. W. (Connie W.)","1958-","person","","Neal, C. W. (Connie W.), 1958- [person]","The Gospel according to Harry Potter : spirituality in the stories of the world's most famous seeker","","","","England","London ; Louisville, Kentucky","Westminster John Knox Press","2002","","xvi, 166 pages, 22 cm","226.06","YK.2004.a.5205","","English",""
"Children's stories, English--History and criticism","general term","012617612","Monograph","Language material ; Text","Volume","GBA2V3474","9780415933735 ; 9780415933742","","","","","","Heilman, Elizabeth E. [person]","Harry Potter's world : multidisciplinary critical perspectives","","","","England ; United States of America","London ; New York","RoutledgeFalmer","2003","","ix, 308 pages, 24 cm","823.914","YC.2003.a.97 ; m03/11420","","English",""
"Children's stories, English--History and criticism","general term","012940672","Monograph","Language material ; Text","Volume","","9783833300370","","Maar, Michael","","person","","Maar, Michael [person]","Warum Nabokov Harry Potter gemocht hätte","","","","Germany","Berlin","Berliner Taschenbuch","2003","","199 pages, 19 cm","","YF.2004.a.17816","","German",""
"Children's stories, English--History and criticism","general term","012967686","Monograph","Language material ; Text","Volume","GBA457896","9780826215499","","","","","","Whited, Lana A., 1958- [person]","The ivory tower and Harry Potter : perspectives on a literary phenomenon","","","","England ; United States of America","Columbia, Missouri ; London","University of Missouri Press","2004","","x, 418 pages, 1 portrait, 24 cm","823.914","YC.2006.a.5091","","English",""
"Children's stories, English--History and criticism","general term","012997674","Monograph","Language material ; Text","Volume","GBA469083","9780812694550","","","","","","Klein, Shawn [person] ; Baggett, David [person]","Harry Potter and philosophy : if Aristotle ran Hogwarts","","Popular culture and philosophy","","United States of America","Chicago, Illinois","Open Court","2004","","250 pages, 23 cm","823.914","6550.329500","","English",""
"Children's stories, English--History and criticism","general term","013047892","Monograph","Language material ; Text","Volume","GBA508267","9783631525692","","Bak, Sandra","1978-","person","","Bak, Sandra, 1978- [person]","Harry Potter : auf den Spuren eines zauberhaften Bestsellers","","Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature","Band 1889 = volume 1889 = [Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature]","Germany","Frankfurt am Main ; Oxford","Lang","2004","","216 pages, 22 cm","823.914","YF.2005.a.3897","","German",""
"Children's stories, English--History and criticism","general term","013097606","Monograph","Language material ; Text","Volume","","9781877275555","","Manlove, C. N. (Colin Nicholas)","1942-","person","","Manlove, C. N. (Colin Nicholas), 1942- [person]","From Alice to Harry Potter : children's fantasy in England","","","","New Zealand","Christchurch, New Zealand","Cybereditions","2003","","250 pages, 23 cm","","m05/.20201","","English",""
"Children's stories, English--History and criticism","general term","013332983","Monograph","Language material ; Text","Volume","GBA595491","9781932100594","","","","","","Lackey, Mercedes [person]","Mapping the world of Harry Potter","","","","United States of America","Dallas, Texas ; Lancaster","Benbella ; Gazelle Drake Academic","2006","","232 pages, 23 cm","823.914","","","English",""
"Children's stories, English--History and criticism","general term","013378571","Monograph","Language material ; Text","Volume","GBA638160","9780773460102 ; 9780889469273","","","","","","Hallett, Cynthia Whitney [person]","Scholarly studies in Harry Potter : applying academic methods to a popular text","","Studies in British literature","volume 99 [Studies in British literature]","United States of America","Lampeter ; Lewiston, New York","Edwin Mellen","2005","","xi, 275 pages, 24 cm","823.914","YC.2007.a.4045 ; m06/.18360","","English",""
"Children's stories, English--History and criticism","general term","013464509","Monograph","Language material ; Text","Volume","GBA646335","9780742539587 ; 9780742539594","","","","","","Neumann, Iver B. [person] ; Nexon, Daniel H., 1973- [person]","Harry Potter and international relations","","","","United States of America","Lanham, Maryland ; Oxford","Oxford Publicity Partnership ; Rowman & Littlefield","2006","","vii, 245 pages","823.914","YK.2007.a.64 ; m06/.28565","","English",""
"Children's stories, English--History and criticism","general term","013513884","Monograph","Language material ; Text","Volume","","9780742537781 ; 9780742537798","","Mayes-Elma, Ruthann","1974-","person","","Mayes-Elma, Ruthann, 1974- [person]","Females and Harry Potter : not all that empowering","","Reverberations","","United States of America","Lanham, Maryland ; Oxford","Rowman & Littlefield","2006","","vii, 155 pages","823.914","m06/.31547","","English",""
"Children's stories, English--History and criticism","general term","013562697","Monograph","Language material ; Text","Volume","GBA681801","9780385517546","","Morris, Thomas V.","","person","","Morris, Thomas V. [person]","If Harry Potter ran General Electric : leadership wisdom from the world of the wizards","","","","England ; United States of America","Enfield ; New York","Doubleday","2006","1st edition","xx, 252 pages, 25 cm","823.914","YK.2007.a.13249","","English","Includes index"
"Children's stories, English--History and criticism","general term","013748724","Monograph","Language material ; Text","Volume","","9781932100884","","","","","","Mulholland, Neil, 1946- [person]","The psychology of Harry Potter : an unauthorized examination of the boy who lived","","Psychology of popular culture series ; Smart pop","","United States of America","Dallas, Texas","BenBella ; Independent","2006","","vi, 326 pages, 23 cm","823.914","m07/.23759","","English",""
"Children's stories, English--History and criticism","general term","013833633","Monograph","Language material ; Text","Volume","GBA770720","9780750944700","","Duriez, Colin","","person","","Duriez, Colin [person]","The unauthorised Harry Potter companion","","","","England","Stroud","Sutton","2007","","viii, 278 pages, illustrations, 24 cm","823.914","YK.2008.a.6060","","English",""
"Children's stories, English--History and criticism","general term","014343148","Monograph","Language material ; Text","Volume","","9782213634555","","Cani, Isabelle","","person","","Cani, Isabelle [person]","Harry Potter ou l'anti-Peter Pan : pour en finir avec la magie de l'enfance","","","","France","Paris","Fayard","2007","","321 pages, 22 cm","823.914","YF.2009.a.9307","","French",""
"Children's stories, English--History and criticism","general term","014525019","Monograph","Language material ; Text","Volume","GBA820244","9781571431745","","Ark, Steve Vander","","person","","Ark, Steve Vander [person]","The lexicon : an unauthorized guide to Harry Potter fiction and related materials","","","","United States of America","Hove ; Oakland, California","Roundhouse","2009","","1 volume, 23 cm","823.914","","","English",""
"Children's stories, English--History and criticism","general term","014525103","Monograph","Language material ; Text","Volume","GBA820328","9781591026204","","Kern, Edmund M.","1963-","person","","Kern, Edmund M., 1963- [person]","The wisdom of Harry Potter : what our favorite hero teaches us about moral choices","","","","United States of America","Amherst, New York ; Lancaster","Gazelle ; Prometheus","2008","New edition","1 volume, 23 cm","823.914","","","English","Previous edition: 2003"
"Children's stories, English--History and criticism","general term","014580933","Monograph","Language material ; Text","Volume","GBB017957","9781846940934","","Trevarthen, Geo Athena","","person","","Trevarthen, Geo Athena [person]","The seeker's guide to Harry Potter : the unauthorized course","","","","England","Winchester","","2008","","261 pages, illustrations, 22 cm","823.914","YK.2009.a.29919","","English","paperback"
"Children's stories, English--History and criticism","general term","014601440","Monograph","Language material ; Text","Volume","GBA861188","9780415964845","","","","","","","Critical perspectives on Harry Potter","Harry Potter's world","","","England","London","Routledge","2009","2nd edition","ix, 354 pages, 23 cm","823.914","YC.2009.a.6640 ; m09/.12116","","English",""
"Children's stories, English--History and criticism","general term","014881877","Monograph","Language material ; Text","Volume","","9789087900816 ; 9789087900823","","Mayes-Elma, Ruthann","1974-","person","","Mayes-Elma, Ruthann, 1974- [person]","Harry Potter : feminist friend or foe?","","Transgressions (Rotterdam, Netherlands)","18 [Transgressions (Rotterdam, Netherlands)]","Netherlands","Rotterdam","Sense","2007","","xi, 139 pages, 23 cm","","9020.714400","","English",""
"Children's stories, English--History and criticism","general term","015116435","Monograph","Language material ; Text","Volume","GBA938932","9780230219571 ; 9780230219588","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2009","2nd edition","vii, 278 pages, 23 cm","823.914","YC.2012.a.5499","","English","Previous edition: 2003"
"Children's stories, English--History and criticism","general term","015378096","Monograph","Language material ; Text","Volume","","9780881461626","","Killinger, John","","person","","Killinger, John [person]","The life, death, and resurrection of Harry Potter","","","","United States of America","Macon, Georgia","Mercer University Press","2009","1st edition","164 pages, 23 cm","823.914","m09/.33916","","English",""
"Children's stories, English--History and criticism","general term","015398690","Monograph","Language material ; Text","Volume","","9783828898707","","Linzer, Claudia","","person","","Linzer, Claudia [person]","'Mudbloods' und 'Half-Breeds' : Rassismus und Identitätszuschreibung in den Harry-Potter-Romanen","","","","Germany","Marburg","Tectum","2009","","318 pages, illustrations, 21 cm","823.914","YF.2010.a.912","","English ; German",""
"Children's stories, English--History and criticism","general term","015415429","Monograph","Language material ; Text","Volume","GBA9A9010","9781443813945","","","","","","Patterson, Diana [person]","Harry Potter's world wide influence","","","","England","Newcastle","Cambridge Scholars","2009","","xii, 323 pages, illustrations, 21 cm","823.914","YK.2010.a.5611 ; m09/.37452","","English",""
"Children's stories, English--History and criticism","general term","015643645","Monograph","Language material ; Text","Volume","GBB0A7031","9780230109292","","Weiss, Shira Wolosky","1954-","person","","Weiss, Shira Wolosky, 1954- [person]","The riddles of Harry Potter : secret passages and interpretive quests","","","","United States of America","New York","Palgrave Macmillan","2010","1st edition","x, 225 pages, 22 cm","823.914","YC.2012.a.4918","","English",""
"Children's stories, English--History and criticism","general term","015660414","Monograph","Language material ; Text","Volume","GBB0B7482","9780470398258 ; 9780470627082 ; 9780470627341 ; 9780470627358","","","","","","Bassham, Gregory, 1959- [person]","The ultimate Harry Potter and philosophy : Hogwarts for Muggles","","The Blackwell philosophy and pop culture series","","United States of America","Oxford","Wiley-Blackwell","2010","","xv, 288 pages, 23 cm","823.914","YC.2010.a.13985","","English",""
"Children's stories, English--History and criticism","general term","015683180","Monograph","Language material ; Text","Volume","GBB6B8559","9783527505715","","","","","","Wegberg, T. A., translator [person] ; Bassham, Gregory, 1959-, editor [person]","Die Philosophie bei Harry Potter","Ultimate Harry Potter and philosophy. German","","","Germany","Weinheim","KGaA ; WILEY-VCH","2010","1st Auflage","293 pages, black and white illustrations, 22 cm","823.914","YK.2013.a.18394","","German","Translated from English ; Translation of: Ultimate Harry Potter and philosophy"
"Children's stories, English--History and criticism","general term","015710296","Monograph","Language material ; Text","Volume","GBB0E5144","9780470574720","","","","","","","Harry Potter and history","","","","United States of America","Hoboken, New Jersey","Wiley","2011","","xvi, 336 pages, illustrations, 23 cm","823.914","YK.2011.a.19562","","English",""
"Children's stories, English--History and criticism","general term","017553378","Monograph","Language material ; Text","Volume","GBB6A0799","9780786499212","","Spencer, Richard A. (Richard Albert)","","person","author","Spencer, Richard A. (Richard Albert), author [person]","Harry Potter and the classical world : Greek and Roman allusions in J.K. Rowling's modern epic","","","","United States of America","Jefferson, North Carolina","McFarland","2015","","viii, 315 pages, 23 cm","823.914","YC.2016.a.7330","","English",""
"Children's stories, English--History and criticism","general term","017675676","Monograph","Language material ; Text","Volume","GBB5I3606","9780786499311","","","","","","Bell, Christopher E., 1974-, editor [person]","From here to Hogwarts : essays on Harry Potter fandom and fiction","","","","United States of America","Jefferson, North Carolina","McFarland","2016","","viii, 224 pages, 23 cm","823.914","YC.2016.a.635","","English",""
"Children's stories, English--History and criticism","general term","017709929","Monograph","Language material ; Text","Volume","GBB609601","9780786499304","","","","","","Bell, Christopher E., 1974-, editor [person]","Wizards vs. Muggles : essays on identity and the Harry Potter universe","Wizards versus Muggles","","","United States of America","Jefferson, North Carolina","McFarland","2016","","viii, 236 pages, 23 cm","823.914","YC.2017.a.5544","","English",""
"Children's stories, English--History and criticism","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Huey, Peggy J., 1951- [person] ; Hallett, Cynthia J., 1947- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
"Children's stories, English--History and criticism","general term","017814028","Monograph","Language material ; Text","Online resource","GBB6F5741","9781443816281","","","","","","Patterson, Diana [person]","Harry Potter's world wide influence","","","","United Kingdom","Newcastle upon Tyne","Cambridge Scholars","2009","","1 online resource (337 pages)","823.914","ELD.DS.57183","","English",""
"Children's stories, English--History and criticism","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Children's stories, English--History and criticism","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; PDF ebook ; ePub ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.914","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Children's stories, English--History and criticism","general term","018901554","Monograph","Language material ; Text","Online resource","GBB8B0691","9780829777437","","Abanes, Richard","","person","","Abanes, Richard [person]","Harry Potter y la Biblia : la amenaza tras la magica","Harry Potter and the Bible. Spanish","","","United States of America","Miami, Florida","Editorial Vida","2003","","1 online resource (xiv, 264 pages)","823.914","ELD.DS.294874","Criticsm and interpretation","Spanish","Translation of: Harry Potter and the Bible : the menace behind the magick"
"Children's stories, English--History and criticism","general term","018923371","Monograph","Language material ; Text","Volume","GBB9H8253","9780814342862 ; 9780814344910","","","","","","Miller, P. Andrew, editor [person] ; Alberti, John, editor [person]","Transforming Harry : the adaptation of Harry Potter in the transmedia age","","Contemporary approaches to film and media series","","United States of America","Detroit","Wayne State University Press","2018","","x, 202 pages, illustrations, 24 cm","791.4375","YC.2019.a.9102","Criticsm and interpretation","English",""
"Children's stories, English--History and criticism","general term","019325870","Monograph","Language material ; Text","Volume","GBB9C8475","9781476673554","","","","","","Bell, Christopher E., 1974-, editor [person]","Inside the world of Harry Potter : critical essays on the books and films","","","","United States of America","Jefferson, North Carolina","McFarland","2018","","viii, 183 pages, 23 cm","823.914","YK.2019.a.3231","","English",""
"Children's stories, English--History and criticism","general term","019470483","Monograph","Language material ; Still image ; Text","Online resource (PDF ebook)","GBB9C5363","9781108756112","","Martens, Marianne","","person","author","Martens, Marianne, author [person]","The forever fandom of Harry Potter : balancing fan agency and corporate control","","Elements in publishing and book culture","","England","Cambridge","Cambridge University Press","2019","","1 online resource, black and white illustrations","823.92","","","English",""
"Children's stories, English--History and criticism","general term","019504745","Monograph","Language material ; Still image ; Text","Online resource (ebook)","GBB9E0389","9781108599092","","Martens, Marianne","","person","author","Martens, Marianne, author [person]","The forever fandom of Harry Potter : balancing fan agency and corporate control","","Elements in publishing and book culture","","England","Cambridge","Cambridge University Press","2019","","1 online resource, black and white illustrations","823.92","","","English",""
"Children's stories, English--History and criticism","general term","020023401","Monograph","Language material ; Text","Volume","GBC1I7647","9781643360867 ; 9781643360874","","Pugh, Tison","","person","author","Pugh, Tison, author [person]","Harry Potter and beyond : on J. K. Rowling's fantasies and other fictions","","","","United States of America","Columbia, South Carolina","University of South Carolina Press","2020","","152 pages, 24 cm","823.914","YC.2021.a.4989","","English","Additional physical form: Pugh, Tison. Online version. Harry Potter and beyond. Columbia, South Carolina : The University of South Carolina Press, [2020]. 9781643360881"
"Children's stories, English--History and criticism","general term","020641429","Monograph","Language material ; Text","Volume","GBC2A2997","9781496840561 ; 9781496840578","","","","","","Thomas, Ebony Elizabeth, 1977-, editor [person] ; Dahlen, Sarah Park, 1979-, editor [person]","Harry Potter and the other : race, justice, and difference in the wizarding world","","","","United States of America","Jackson","Mississippi ; University Press","2022","","xii, 317 pages, 23 cm","823.92","","","English",""
"Children's stories, English--History and criticism","general term","020953227","Monograph","Language material ; Still image ; Text","Online resource","GBC328381","9781496840523 ; 9781496840530 ; 9781496840561 ; 9781496840578","","","","","","Thomas, Ebony Elizabeth, 1977-, editor [person] ; Dahlen, Sarah Park, 1979-, editor [person]","Harry Potter and the other : race, justice, and difference in the wizarding world","","Children's Literature Association series ; Mississippi scholarship online","","United States of America","Jackson","Mississippi ; University Press","2022","","1 online resource (xii, 317 pages), black and white illustrations","823.92093552","","","English","Additional physical form: Print version. 9781496840578 ; Also issued in print: 2022"
"Children's stories, English--History and criticism--Handbooks, manuals, etc","general term","013279930","Monograph","Language material ; Text","Volume","GBA572170","9781571744401","","Beahm, George W.","","person","","Kirk, Tim, 1947- [person] ; Beahm, George W. [person] ; McDaniel, Birtton [person]","Fact, fiction, and folklore in Harry Potter's world : an unofficial guide","","","","England ; United States of America","Charlottesville, Virginia ; Enfield","Airlift ; Hampton Roads","2005","","xix, 256 pages, illustrations, 22 cm","823.914","YK.2007.a.21378","Handbook or manual","English",""
"Children's stories, English--History and criticism--Handbooks, manuals, etc","general term","018138732","Monograph","Language material ; Text","Online resource","GBB6K5931","9781429544672 ; 9781429544702 ; 9781440636615","","Stouffer, Tere","","person","","Stouffer, Tere [person]","The complete idiot's guide to the world of Harry Potter","World of Harry Potter","The complete idiot's guide","","United States of America","New York","Alpha","2008","","1 online resource, illustrations","823.914","ELD.DS.104624","Criticsm and interpretation ; Handbook or manual","English",""
"Children's stories, English--Study and teaching","general term","012459662","Monograph","Language material ; Text","Volume","","9783860726570","","","","","","Knobloch, Jörg [person]","'Harry Potter' in der Schule : didaktische Annäherungen an ein Phänomen","","","","Germany","Mühlheim an der Ruhr","Ruhr","2001","","229 pages, illustrations, 23 cm","","YA.2003.a.27508","","German",""
"Children's stories--20th century--Translations into Burmese","general term","008281699","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","","Rowling, J. K. [person] ; Kraññʿ Kraññʿ Mā [person]","Hayʿrīpoʿtā nhaṅʿ′ mhoʿ kyokʿ tuṃ″","Harry Potter and the philosopher's stone. Burmese","","","Burma","Ranʿ kunʿ","Khyui te″ saṃ","2002","","358 pages, 21 cm","","SEA.2002.a.691","Children's fiction ; Translations into Burmese","Burmese",""
"Children's stories--Forecasting--Juvenile literature","general term","013590260","Monograph","Language material ; Text","Volume","GBA692476","9781569755839","","Schoen, Ben","","person","","MuggleNet.com [organisation] ; Schoen, Ben [person]","Mugglenet.com's What will happen in Harry Potter 7 : who lives, who dies, who falls in love, and how will the adventure finally end?","What will happen in Harry Potter 7","","","England ; United States of America","Berkeley, California ; Enfield","Ulysses","2006","","214 pages, 21 cm","828.9207","YK.2008.a.14971","Children's literature","English",""
"Children's stories--History and criticism","general term","006921386","Monograph","Language material ; Text","Volume","GBA3Y9816","9780312308698","","Killinger, John","","person","","Killinger, John [person]","God, the devil, & Harry Potter : a minister's defense of the boy wizard","","","","England ; United States of America","Godalming ; New York","Melia ; St Martin's","2003","","1 volume, 22 cm","823.914","","","English",""
"Children's stories--Psychological aspects","general term","014343148","Monograph","Language material ; Text","Volume","","9782213634555","","Cani, Isabelle","","person","","Cani, Isabelle [person]","Harry Potter ou l'anti-Peter Pan : pour en finir avec la magie de l'enfance","","","","France","Paris","Fayard","2007","","321 pages, 22 cm","823.914","YF.2009.a.9307","","French",""
"Children's writings","general term","011989485","Monograph","Language material ; Text","Volume","GBA277795","9780786708901","","","","","","Adler, Bill, 1956- [person]","Kids' letters to Harry Potter from around the world : an unauthorized collection","","","","England ; United States of America","New York","Carroll & Graf","2001","","xi, 195 pages, illustrations, 22 cm","816.540080351","YK.2003.a.2370","","English",""
"Children--Books and reading","general term","006951022","Monograph","Language material ; Text","Volume","GBA4Z6662","9780099453895","","Lurie, Alison","1926-","person","","Lurie, Alison, 1926- [person]","Boys and girls forever : children's classics from Cinderella to Harry Potter","","","","England","London","Vintage","2004","","xvi, 231 pages, 20 cm","809.89282","YK.2005.a.19101 ; m08/.37479","","English","Originally published: London: Chatto & Windus, 2003"
"Children--Books and reading","general term","012669161","Monograph","Language material ; Text","Volume","GBA117612","9780901922359","","Campbell, Alasdair","","person","","Librarians of Institutes and Schools of Education [organisation] ; Campbell, Alasdair [person]","From Goggle-eyes to Harry Potter : a ten year supplement to outstanding children's books (1932-1988) listing 315 winners of awards of official commendations during the period from 1989 to 1998","","","","England ; Wales","Swansea","Librarians of Institutes & Schools of Education","1999","","47 pages, 21 cm","016.8239140809282","YC.2001.a.6162","","English","Includes indexes"
"Children--Books and reading","general term","013047892","Monograph","Language material ; Text","Volume","GBA508267","9783631525692","","Bak, Sandra","1978-","person","","Bak, Sandra, 1978- [person]","Harry Potter : auf den Spuren eines zauberhaften Bestsellers","","Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature","Band 1889 = volume 1889 = [Europäische Hochschulschriften. Reihe I, Deutsche Sprache und Literatur Publications universitaires européennes. Série I, Langue et littérature allemandes European university studies. Series I, German language and literature]","Germany","Frankfurt am Main ; Oxford","Lang","2004","","216 pages, 22 cm","823.914","YF.2005.a.3897","","German",""
"Children--Books and reading","general term","013467911","Monograph","Language material ; Text","Volume","","9782227474529","","Mijolla-Mellor, Sophie de","","person","","Mijolla-Mellor, Sophie de [person]","L'enfant lecteur : de la Comtesse de Ségur à Harry Potter, les raisons du succès","","","","France","Paris","Bayard","2006","","189 pages, 21 cm","","YF.2007.a.24672","","French",""
"Children--Books and reading","general term","014492508","Monograph","Language material ; Text","Volume","","9782130565727","","","","","","Smadja, Isabelle [person] ; Bruno, P. (Pierre) [person]","Harry Potter, ange ou demon?","","","","France","Paris","Presses Universitaires de France","2007","","276 pages, 22 cm","","YF.2008.a.9352","","French",""
"Children--Books and reading","general term","015378096","Monograph","Language material ; Text","Volume","","9780881461626","","Killinger, John","","person","","Killinger, John [person]","The life, death, and resurrection of Harry Potter","","","","United States of America","Macon, Georgia","Mercer University Press","2009","1st edition","164 pages, 23 cm","823.914","m09/.33916","","English",""
"Children--Books and reading","general term","016423700","Monograph","Language material ; Text","Volume","GBB409957","9780786472017","","","","","","Frankel, Valerie Estelle, 1980-, editor [person]","Teaching with Harry Potter : essays on classroom wizardry from elementary school to college","","","","England ; United States of America","Jefferson, North Carolina ; London","McFarland","2013","","viii, 277 pages, 23 cm","823.914","YK.2014.a.2152","","English",""
"Children--Books and reading","general term","017815998","Monograph","Language material ; Still image ; Text","Volume","GBB657333","9781138841239","","Dempster, Steven","","person","author","Dempster, Steven, author [person]","Children's literacy practices and preferences : Harry Potter and beyond","","Routledge research in literacy","8 [Routledge research in literacy]","England","London","Routledge","2016","","1 volume, black and white illustrations, 23 cm","302.2244","","","English","Additional physical form: ebook version. 9781317554721"
"Children--Books and reading","general term","017817605","Monograph","Language material ; Still image ; Text","Online resource (Mobipocket ebook ; PDF ebook ; ePub ebook)","GBB658938","9781317554714 ; 9781317554721 ; 9781317554738","","Dempster, Steven","","person","author","Dempster, Steven, author [person]","Children's literacy practices and preferences : Harry Potter and beyond","","Routledge research in literacy","8 [Routledge research in literacy]","England","London","Routledge","2016","","1 online resource, black and white illustrations","302.2244","","","English","Additional physical form: Print version. 9781138841239"
"Children--Books and reading","general term","018901554","Monograph","Language material ; Text","Online resource","GBB8B0691","9780829777437","","Abanes, Richard","","person","","Abanes, Richard [person]","Harry Potter y la Biblia : la amenaza tras la magica","Harry Potter and the Bible. Spanish","","","United States of America","Miami, Florida","Editorial Vida","2003","","1 online resource (xiv, 264 pages)","823.914","ELD.DS.294874","Criticsm and interpretation","Spanish","Translation of: Harry Potter and the Bible : the menace behind the magick"
"Children--Books and reading","general term","019615928","Monograph","Language material ; Still image ; Text","Volume","GBB9I8530","9780367195991","","Sunderland, Jane","1952-","person","author","Thistlethwaite, Joanne, author [person] ; Sunderland, Jane, 1952-, author [person] ; Dempster, Steven, author [person]","Children's literacy practices and preferences : Harry Potter and beyond","","Routledge research in literacy","8 [Routledge research in literacy]","England","London","Routledge","2019","","1 volume, black and white illustrations, 23 cm","302.2244","","","English","Originally published: 2016"
"Children--Books and reading--English-speaking countries","general term","008101227","Monograph","Language material ; Text","Volume","GBA346780","9780826452320","","Nel, Philip","1969-","person","","Nel, Philip, 1969- [person]","J.K. Rowling's Harry Potter novels : a reader's guide","","Continuum contemporaries","","England ; United States of America","London ; New York","Continuum","2002","","96 pages, 20 cm","823.914","YA.2003.a.25107","","English",""
"Children--Books and reading--English-speaking countries","general term","009404978","Monograph","Language material ; Text","Volume","GBA419461","9780313320675","","","","","","Anatol, Giselle Liza, 1970- [person]","Reading Harry Potter : critical essays","","Contributions to the study of popular culture","number 78 [Contributions to the study of popular culture]","England","London ; Westport, Connecticut","Praeger","2003","","xxv, 217 pages, 25 cm","823.914","3461.454200 ; YC.2004.a.3539","","English",""
"Children--Books and reading--English-speaking countries","general term","010130486","Monograph","Language material ; Text","Volume","GBA3Z3920","9781403912640 ; 9781403912657","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2003","","vii, 185 pages, 23 cm","823.914","YC.2004.a.1622 ; m03/28568","","English","Includes index"
"Children--Books and reading--English-speaking countries","general term","011343874","Monograph","Language material ; Text","Volume","GBA384362","9780664226015","","Neal, C. W. (Connie W.)","1958-","person","","Neal, C. W. (Connie W.), 1958- [person]","The Gospel according to Harry Potter : spirituality in the stories of the world's most famous seeker","","","","England","London ; Louisville, Kentucky","Westminster John Knox Press","2002","","xvi, 166 pages, 22 cm","226.06","YK.2004.a.5205","","English",""
"Children--Books and reading--English-speaking countries","general term","014601440","Monograph","Language material ; Text","Volume","GBA861188","9780415964845","","","","","","","Critical perspectives on Harry Potter","Harry Potter's world","","","England","London","Routledge","2009","2nd edition","ix, 354 pages, 23 cm","823.914","YC.2009.a.6640 ; m09/.12116","","English",""
"Children--Books and reading--English-speaking countries","general term","015116435","Monograph","Language material ; Text","Volume","GBA938932","9780230219571 ; 9780230219588","","Gupta, Suman","1966-","person","","Gupta, Suman, 1966- [person]","Re-reading Harry Potter","","","","England","Basingstoke","Palgrave Macmillan","2009","2nd edition","vii, 278 pages, 23 cm","823.914","YC.2012.a.5499","","English","Previous edition: 2003"
"Children--Books and reading--English-speaking countries","general term","016018187","Monograph","Language material ; Text","Volume","","9788873956303","","","","","","Tosi, Laura, 1966- [person] ; Petrina, Alessandra [person]","Dall'ABC a Harry Potter : storia della letteratura inglese per l'infanzia e la gioventù","","Biblioteca","","Italy","Bologna","Bononia University Press","2011","1st edition","443 pages, 21 cm","","YF.2012.a.11622","","English ; Italian","Collected essays"
"Children--Books and reading--English-speaking countries","general term","017762393","Monograph","Language material ; Text","Online resource","GBB6H9569","9781137295828","","","","","","Huey, Peggy J., 1951- [person] ; Hallett, Cynthia J., 1947- [person]","J.K. Rowling : Harry Potter","","New casebooks","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2012","","1 online resource (224 pages)","823.914","ELD.DS.49415","","English",""
